year,grade,exam_family,month,external_post_id,source_content_key,source_subject_key,raw_subject_label,canonical_code,mapping_status,source_resource_key,resource_type,source_label,post_url,source_url,file_url,link_kind,link_status,published_at,source_updated_at,feed_updated_at,is_active
2024,3,national_mock,3,1614,main,세계지리,세계지리,world_geography,provisional,bvx42u/btsF9EpIZ30,answer_explanation,"2024_3월_사_세계지리 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/bvx42u/btsF9EpIZ30/x/2024_3월_사_세계지리 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,윤리와사상,윤리와사상,ethics_thought,provisional,by3QVT/btsF92XZ3yH,question,2024_3월_사_윤리와사상 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/by3QVT/btsF92XZ3yH/x/2024_3월_사_윤리와사상 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,윤리와사상,윤리와사상,ethics_thought,provisional,wQDLr/btsGcOjBS4m,answer_explanation,"2024_3월_사_윤리와사상 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/wQDLr/btsGcOjBS4m/x/2024_3월_사_윤리와사상 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,정치와법,정치와법,politics_law,provisional,btFhgA/btsF9C6wzdO,question,2024_3월_사_정치와법 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/btFhgA/btsF9C6wzdO/x/2024_3월_사_정치와법 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,정치와법,정치와법,politics_law,provisional,3Mojq/btsGcPbKotW,answer_explanation,"2024_3월_사_정치와법 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/3Mojq/btsGcPbKotW/x/2024_3월_사_정치와법 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,한국지리,한국지리,korean_geography,provisional,yOyZf/btsF9xjTlVc,question,2024_3월_사_한국지리 문제.pdf,https://legendstudy.com/1614,https://blog.kakaocdn.net/dna/yOyZf/btsF9xjTlVc/x/2024_3월_사_한국지리 문제.pdf,,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,3,1614,main,한국지리,한국지리,korean_geography,provisional,F0SJk/btsGbHFv3Hi,answer_explanation,"2024_3월_사_한국지리 정답,해설.pdf",https://legendstudy.com/1614,"https://blog.kakaocdn.net/dna/F0SJk/btsGbHFv3Hi/x/2024_3월_사_한국지리 정답,해설.pdf",,unknown,unchecked,2024-03-28,2024-03-28,2024-03-28,False
2024,3,national_mock,5,1617,main,국어,국어,korean,provisional,bUQZGg/btsHjVXtCAI,question,2024_5월_국어 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/bUQZGg/btsHjVXtCAI/x/2024_5월_국어 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,국어,국어,korean,provisional,bxSlDI/btsHlGkFKS4,answer_explanation,"2024_5월_국어 정답,해설.pdf",https://legendstudy.com/1617,"https://blog.kakaocdn.net/dna/bxSlDI/btsHlGkFKS4/x/2024_5월_국어 정답,해설.pdf",,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
2024,3,national_mock,5,1617,main,수학,수학,math,provisional,baABAB/btsHlxBvjjl,question,2024_5월_수학 문제.pdf,https://legendstudy.com/1617,https://blog.kakaocdn.net/dna/baABAB/btsHlxBvjjl/x/2024_5월_수학 문제.pdf,,unknown,unchecked,2024-05-09,2024-05-09,2024-05-09,False
